Pizza Hut,2550 E Fowler Ave, Tampa, FL 33612,"food, pizzeria, fast food, late night, casual, comfort",28.055585,-82.430724
Trulieve Tampa,8701 N Dale Mabry Hwy, Tampa, FL 33614,marijuana dispensary,28.03073,-82.50444
Celebration Station,24546 US Highway 19 N, Clearwater, FL 33763,"theme park, go karts, laser tag",27.995367,-82.730629
Bobacup,2732 E Fowler Ave, Tampa, FL 33612,"cafe, boba, ice cream",28.055731,-82.42975
Florida Caverns State Park,3345 Caverns Rd, Marianna, FL 32446,"outdoor, hiking, park",30.8112,-85.2337
Chipotle,2300-2398 W Horatio St, Tampa, FL 33609,"tacos, mexican grill, burritos",27.939659,-82.483334
Cigar City Brewery,3924 W Spruce St, Tampa, FL 33607,"beer, craft beer, brewery, package alcohol",27.95903,-82.50917
Felicitous,11706 N 51st St, Tampa, FL 33617,"cafe, coffee, lounge",28.056045,-82.382672
Adventure Island,10001 N. McKinley Drive, Tampa, FL 33612,"water park, restaurants",28.0419428,-82.4131894
Wells Fargo Bank,5880 E Fowler Ave, Tampa, FL 33617,"bank, atm, accounting",28.054915,-82.390007
New York New York Pizza,10053 N Dale Mabry Hwy, Tampa, FL 33618,"restaurant, meal delivery, meal takeaway",28.042707,-82.504200
Busch Gardens,10165 McKinley Dr, Tampa, FL 33612,"amusement, rides, zoo, attractions",28.037747,-82.420844
Clearwater Beach,1 Causeway Blvd, Clearwater, FL 33767,"park, beach, scenery",27.977702,-82.829218
(Swah-Rey),2105 Central Ave, St. Petersburg, FL 33713,"cafe, bar, dessert",27.771237,-82.66188
Lowry Park Zoo,1101 W Sligh Ave., Tampa, FL 33604,"zoo, animals, wildlife",28.0128084,-82.4714601
